year,days_35plus,days_40plus
2005,3,1
2006,9,0
2007,8,0
2008,9,0
2009,12,4
2010,7,1
2011,1,0
2012,5,0
2013,7,0
2014,9,4
2015,7,1
2016,6,1
2017,5,0
2018,10,2
2019,17,7
2020,3,1
2021,4,0
2022,3,0
2023,5,1
2024,11,1
