city,state,tmean_2024,tmean_20yr,rain_2024,rain_20yr
Sydney,NSW,18.04,17.74,1068.1,815.8
Melbourne,VIC,15.17,15.03,726.6,656.3
Brisbane,QLD,20.87,20.58,1581.1,983.0
Perth,WA,19.84,18.97,673.5,573.2
Adelaide,SA,16.62,16.59,458.6,523.7
Hobart,TAS,13.27,12.68,626.1,644.4
Darwin,NT,27.94,27.59,1961.8,1835.0
Canberra,ACT,13.84,13.21,597.0,615.3
