summer,year_label,mean_max_c
2005-06,2006,25.45
2006-07,2007,26.18
2007-08,2008,25.03
2008-09,2009,25.05
2009-10,2010,25.7
2010-11,2011,23.53
2011-12,2012,24.64
2012-13,2013,26.08
2013-14,2014,25.86
2014-15,2015,24.98
2015-16,2016,26.09
2016-17,2017,25.49
2017-18,2018,25.94
2018-19,2019,26.98
2019-20,2020,25.33
2020-21,2021,23.7
2021-22,2022,25.89
2022-23,2023,24.78
2023-24,2024,24.44
2024-25,2025,26.7
