city,period,tmean
Darwin,20-yr avg (2005-2024),27.59
Darwin,2024,27.94
Brisbane,20-yr avg (2005-2024),20.58
Brisbane,2024,20.87
Perth,20-yr avg (2005-2024),18.97
Perth,2024,19.84
Sydney,20-yr avg (2005-2024),17.74
Sydney,2024,18.04
Adelaide,20-yr avg (2005-2024),16.59
Adelaide,2024,16.62
Canberra,20-yr avg (2005-2024),13.21
Canberra,2024,13.84
Melbourne,20-yr avg (2005-2024),15.03
Melbourne,2024,15.17
Hobart,20-yr avg (2005-2024),12.68
Hobart,2024,13.27
