city,year,month,monthly_tmax
Darwin,2021,8,30.72
Darwin,2021,9,31.24
Darwin,2021,10,31.7
Darwin,2021,11,32.23
Darwin,2021,12,31.15
Darwin,2022,1,30.25
Darwin,2022,2,29.38
Darwin,2022,3,30.43
Darwin,2022,4,30.93
Darwin,2022,5,31.39
Darwin,2022,6,30.11
Darwin,2022,7,27.39
Darwin,2022,8,30.09
Darwin,2022,9,30.46
Darwin,2022,10,30.95
Darwin,2022,11,31.2
Darwin,2022,12,30.54
Darwin,2023,1,29.67
Darwin,2023,2,29.34
Darwin,2023,3,29.71
Darwin,2023,4,30.29
Darwin,2023,5,30.3
Darwin,2023,6,30.17
Darwin,2023,7,29.84
Darwin,2023,8,31.22
Darwin,2023,9,31.2
Darwin,2023,10,32.15
Darwin,2023,11,32.0
Darwin,2023,12,32.32
Darwin,2024,1,29.87
Darwin,2024,2,30.38
Darwin,2024,3,29.98
Darwin,2024,4,32.27
Darwin,2024,5,32.5
Darwin,2024,6,29.96
Darwin,2024,7,29.64
Darwin,2024,8,30.76
Darwin,2024,9,31.93
Darwin,2024,10,32.17
Darwin,2024,11,31.21
Darwin,2024,12,31.46
Brisbane,2005,1,28.65
Brisbane,2005,2,29.25
Brisbane,2005,3,27.26
Brisbane,2005,4,25.35
Brisbane,2005,5,22.88
Brisbane,2005,6,20.04
Brisbane,2005,7,20.25
Brisbane,2005,8,21.13
Brisbane,2005,9,24.09
Brisbane,2005,10,27.6
Brisbane,2005,11,26.7
Brisbane,2005,12,31.7
Brisbane,2006,1,29.45
Brisbane,2006,2,28.88
Brisbane,2006,3,26.16
Brisbane,2006,4,26.01
Brisbane,2006,5,22.62
Brisbane,2006,6,19.47
Brisbane,2006,7,20.01
Brisbane,2006,8,21.84
Brisbane,2006,9,22.3
Brisbane,2006,10,24.79
Brisbane,2006,11,27.05
Brisbane,2006,12,26.68
Brisbane,2007,1,28.22
Brisbane,2007,2,27.49
Brisbane,2007,3,28.42
Brisbane,2007,4,25.99
Brisbane,2007,5,24.27
Brisbane,2007,6,18.74
Brisbane,2007,7,19.57
Brisbane,2007,8,21.72
Brisbane,2007,9,24.22
Brisbane,2007,10,26.69
Brisbane,2007,11,25.23
Brisbane,2007,12,26.66
Brisbane,2008,1,26.98
Brisbane,2008,2,27.03
Brisbane,2008,3,25.61
Brisbane,2008,4,23.54
Brisbane,2008,5,22.36
Brisbane,2008,6,20.96
Brisbane,2008,7,19.16
Brisbane,2008,8,20.37
Brisbane,2008,9,23.42
Brisbane,2008,10,24.76
Brisbane,2008,11,27.08
Brisbane,2008,12,29.51
Brisbane,2009,1,28.03
Brisbane,2009,2,28.28
Brisbane,2009,3,27.16
Brisbane,2009,4,25.19
Brisbane,2009,5,21.48
Brisbane,2009,6,19.76
Brisbane,2009,7,19.53
Brisbane,2009,8,24.48
Brisbane,2009,9,25.78
Brisbane,2009,10,26.78
Brisbane,2009,11,29.48
Brisbane,2009,12,29.19
Brisbane,2010,1,30.19
Brisbane,2010,2,27.81
Brisbane,2010,3,25.76
Brisbane,2010,4,25.35
Brisbane,2010,5,22.1
Brisbane,2010,6,19.84
Brisbane,2010,7,19.76
Brisbane,2010,8,20.22
Brisbane,2010,9,23.03
Brisbane,2010,10,23.14
Brisbane,2010,11,24.61
Brisbane,2010,12,26.25
Brisbane,2011,1,27.4
Brisbane,2011,2,28.53
Brisbane,2011,3,26.85
Brisbane,2011,4,23.97
Brisbane,2011,5,20.99
Brisbane,2011,6,19.32
Brisbane,2011,7,19.64
Brisbane,2011,8,20.72
Brisbane,2011,9,23.62
Brisbane,2011,10,23.86
Brisbane,2011,11,28.58
Brisbane,2011,12,26.09
Brisbane,2012,1,27.22
Brisbane,2012,2,27.73
Brisbane,2012,3,25.96
Brisbane,2012,4,24.48
Brisbane,2012,5,21.74
Brisbane,2012,6,18.88
Brisbane,2012,7,19.24
Brisbane,2012,8,21.55
Brisbane,2012,9,24.06
Brisbane,2012,10,26.73
Brisbane,2012,11,27.1
Brisbane,2012,12,29.26
Brisbane,2013,1,29.39
Brisbane,2013,2,26.48
Brisbane,2013,3,26.33
Brisbane,2013,4,24.43
Brisbane,2013,5,21.45
Brisbane,2013,6,19.39
Brisbane,2013,7,19.83
Brisbane,2013,8,23.07
Brisbane,2013,9,26.23
Brisbane,2013,10,27.65
Brisbane,2013,11,27.39
Brisbane,2013,12,28.25
Brisbane,2014,1,28.76
Brisbane,2014,2,28.65
Brisbane,2014,3,27.15
Brisbane,2014,4,26.18
Brisbane,2014,5,22.8
Brisbane,2014,6,21.4
Brisbane,2014,7,20.75
Brisbane,2014,8,20.33
Brisbane,2014,9,23.12
Brisbane,2014,10,27.27
Brisbane,2014,11,29.41
Brisbane,2014,12,28.66
Brisbane,2015,1,28.5
Brisbane,2015,2,27.0
Brisbane,2015,3,28.61
Brisbane,2015,4,24.51
Brisbane,2015,5,22.73
Brisbane,2015,6,19.97
Brisbane,2015,7,19.22
Brisbane,2015,8,21.7
Brisbane,2015,9,22.56
Brisbane,2015,10,25.36
Brisbane,2015,11,28.15
Brisbane,2015,12,27.32
Brisbane,2016,1,28.46
Brisbane,2016,2,29.58
Brisbane,2016,3,27.72
Brisbane,2016,4,26.21
Brisbane,2016,5,25.36
Brisbane,2016,6,19.66
Brisbane,2016,7,20.76
Brisbane,2016,8,20.94
Brisbane,2016,9,23.23
Brisbane,2016,10,26.25
Brisbane,2016,11,29.29
Brisbane,2016,12,29.95
Brisbane,2017,1,30.4
Brisbane,2017,2,31.53
Brisbane,2017,3,28.74
Brisbane,2017,4,24.91
Brisbane,2017,5,23.46
Brisbane,2017,6,21.56
Brisbane,2017,7,21.85
Brisbane,2017,8,24.24
Brisbane,2017,9,27.5
Brisbane,2017,10,25.61
Brisbane,2017,11,25.34
Brisbane,2017,12,29.31
Brisbane,2018,1,30.51
Brisbane,2018,2,28.73
Brisbane,2018,3,27.34
Brisbane,2018,4,26.15
Brisbane,2018,5,23.75
Brisbane,2018,6,21.48
Brisbane,2018,7,21.81
Brisbane,2018,8,22.89
Brisbane,2018,9,23.72
Brisbane,2018,10,24.86
Brisbane,2018,11,28.68
Brisbane,2018,12,28.44
Brisbane,2019,1,30.46
Brisbane,2019,2,30.25
Brisbane,2019,3,29.47
Brisbane,2019,4,25.07
Brisbane,2019,5,23.42
Brisbane,2019,6,21.39
Brisbane,2019,7,21.78
Brisbane,2019,8,22.95
Brisbane,2019,9,26.26
Brisbane,2019,10,26.06
Brisbane,2019,11,30.24
Brisbane,2019,12,31.38
Brisbane,2020,1,30.04
Brisbane,2020,2,28.29
Brisbane,2020,3,27.23
Brisbane,2020,4,27.35
Brisbane,2020,5,22.7
Brisbane,2020,6,21.06
Brisbane,2020,7,20.7
Brisbane,2020,8,22.11
Brisbane,2020,9,24.44
Brisbane,2020,10,26.78
Brisbane,2020,11,28.4
Brisbane,2020,12,29.0
Brisbane,2021,1,28.11
Brisbane,2021,2,28.69
Brisbane,2021,3,26.95
Brisbane,2021,4,24.64
Brisbane,2021,5,22.69
Brisbane,2021,6,20.36
Brisbane,2021,7,20.08
Brisbane,2021,8,22.61
Brisbane,2021,9,24.71
Brisbane,2021,10,27.22
Brisbane,2021,11,26.27
Brisbane,2021,12,28.43
Brisbane,2022,1,28.09
Brisbane,2022,2,28.04
Brisbane,2022,3,27.85
Brisbane,2022,4,25.37
Brisbane,2022,5,22.16
Brisbane,2022,6,19.89
Brisbane,2022,7,18.96
Brisbane,2022,8,20.98
Brisbane,2022,9,23.12
Brisbane,2022,10,24.49
Brisbane,2022,11,27.27
Brisbane,2022,12,27.05
Brisbane,2023,1,29.26
Brisbane,2023,2,29.72
Brisbane,2023,3,29.82
Brisbane,2023,4,26.27
Brisbane,2023,5,22.65
Brisbane,2023,6,22.36
Brisbane,2023,7,22.05
Brisbane,2023,8,23.88
Brisbane,2023,9,25.51
Brisbane,2023,10,27.64
Brisbane,2023,11,27.18
Brisbane,2023,12,30.81
Brisbane,2024,1,29.35
Brisbane,2024,2,29.21
Brisbane,2024,3,27.01
Brisbane,2024,4,25.55
Brisbane,2024,5,22.6
Brisbane,2024,6,21.47
Brisbane,2024,7,20.06
Brisbane,2024,8,24.19
Brisbane,2024,9,25.73
Brisbane,2024,10,26.42
Brisbane,2024,11,27.81
Brisbane,2024,12,29.33
Perth,2005,1,30.92
Perth,2005,2,30.74
Perth,2005,3,30.23
Perth,2005,4,23.78
Perth,2005,5,22.51
Perth,2005,6,16.59
Perth,2005,7,16.86
Perth,2005,8,16.74
Perth,2005,9,17.39
Perth,2005,10,18.94
Perth,2005,11,24.48
Perth,2005,12,23.3
Perth,2006,1,28.53
Perth,2006,2,31.23
Perth,2006,3,29.81
Perth,2006,4,22.38
Perth,2006,5,21.72
Perth,2006,6,19.07
Perth,2006,7,17.25
Perth,2006,8,18.83
Perth,2006,9,18.98
Perth,2006,10,23.75
Perth,2006,11,27.06
Perth,2006,12,30.48
Perth,2007,1,29.47
Perth,2007,2,30.4
Perth,2007,3,29.44
Perth,2007,4,24.01
Perth,2007,5,19.62
Perth,2007,6,18.71
Perth,2007,7,17.67
Perth,2007,8,17.6
Perth,2007,9,18.34
Perth,2007,10,21.42
Perth,2007,11,27.98
Perth,2007,12,27.35
Perth,2008,1,33.35
Perth,2008,2,31.79
Perth,2008,3,29.28
Perth,2008,4,22.85
Perth,2008,5,21.26
Perth,2008,6,18.33
Perth,2008,7,16.33
Perth,2008,8,17.82
Perth,2008,9,18.83
Perth,2008,10,22.66
Perth,2008,11,22.52
Perth,2008,12,27.56
Perth,2009,1,32.72
Perth,2009,2,31.76
Perth,2009,3,28.31
Perth,2009,4,27.43
Perth,2009,5,22.93
Perth,2009,6,17.21
Perth,2009,7,16.22
Perth,2009,8,17.13
Perth,2009,9,16.65
Perth,2009,10,23.12
Perth,2009,11,25.95
Perth,2009,12,31.28
Perth,2010,1,34.32
Perth,2010,2,32.46
Perth,2010,3,30.06
Perth,2010,4,24.64
Perth,2010,5,20.94
Perth,2010,6,18.35
Perth,2010,7,16.53
Perth,2010,8,17.83
Perth,2010,9,20.84
Perth,2010,10,24.35
Perth,2010,11,29.59
Perth,2010,12,29.33
Perth,2011,1,32.43
Perth,2011,2,34.41
Perth,2011,3,31.69
Perth,2011,4,26.42
Perth,2011,5,22.37
Perth,2011,6,18.63
Perth,2011,7,16.85
Perth,2011,8,18.36
Perth,2011,9,18.64
Perth,2011,10,22.51
Perth,2011,11,24.61
Perth,2011,12,29.05
Perth,2012,1,32.77
Perth,2012,2,30.48
Perth,2012,3,30.55
Perth,2012,4,24.94
Perth,2012,5,21.77
Perth,2012,6,18.34
Perth,2012,7,17.43
Perth,2012,8,18.13
Perth,2012,9,19.49
Perth,2012,10,23.75
Perth,2012,11,24.55
Perth,2012,12,30.52
Perth,2013,1,31.32
Perth,2013,2,33.48
Perth,2013,3,27.23
Perth,2013,4,27.46
Perth,2013,5,19.84
Perth,2013,6,18.24
Perth,2013,7,17.06
Perth,2013,8,18.32
Perth,2013,9,17.95
Perth,2013,10,22.2
Perth,2013,11,28.57
Perth,2013,12,30.15
Perth,2014,1,32.11
Perth,2014,2,32.82
Perth,2014,3,29.9
Perth,2014,4,25.69
Perth,2014,5,19.83
Perth,2014,6,17.87
Perth,2014,7,16.89
Perth,2014,8,19.9
Perth,2014,9,20.28
Perth,2014,10,22.81
Perth,2014,11,24.85
Perth,2014,12,28.79
Perth,2015,1,33.03
Perth,2015,2,32.74
Perth,2015,3,28.67
Perth,2015,4,24.12
Perth,2015,5,20.2
Perth,2015,6,19.34
Perth,2015,7,17.37
Perth,2015,8,17.59
Perth,2015,9,20.77
Perth,2015,10,25.65
Perth,2015,11,27.77
Perth,2015,12,29.05
Perth,2016,1,31.49
Perth,2016,2,31.57
Perth,2016,3,29.13
Perth,2016,4,23.2
Perth,2016,5,19.25
Perth,2016,6,17.05
Perth,2016,7,15.97
Perth,2016,8,16.07
Perth,2016,9,16.52
Perth,2016,10,20.41
Perth,2016,11,27.01
Perth,2016,12,28.26
Perth,2017,1,28.38
Perth,2017,2,27.31
Perth,2017,3,26.37
Perth,2017,4,24.85
Perth,2017,5,21.18
Perth,2017,6,20.04
Perth,2017,7,16.91
Perth,2017,8,17.24
Perth,2017,9,18.72
Perth,2017,10,20.76
Perth,2017,11,26.63
Perth,2017,12,27.07
Perth,2018,1,27.95
Perth,2018,2,27.38
Perth,2018,3,28.28
Perth,2018,4,24.18
Perth,2018,5,22.57
Perth,2018,6,18.15
Perth,2018,7,17.83
Perth,2018,8,16.85
Perth,2018,9,18.22
Perth,2018,10,20.88
Perth,2018,11,22.34
Perth,2018,12,26.05
Perth,2019,1,27.14
Perth,2019,2,28.56
Perth,2019,3,27.98
Perth,2019,4,24.15
Perth,2019,5,21.12
Perth,2019,6,18.45
Perth,2019,7,17.74
Perth,2019,8,18.45
Perth,2019,9,20.13
Perth,2019,10,21.45
Perth,2019,11,26.44
Perth,2019,12,29.98
Perth,2020,1,28.0
Perth,2020,2,30.69
Perth,2020,3,28.04
Perth,2020,4,25.05
Perth,2020,5,20.7
Perth,2020,6,19.87
Perth,2020,7,18.09
Perth,2020,8,17.56
Perth,2020,9,19.47
Perth,2020,10,22.64
Perth,2020,11,22.22
Perth,2020,12,28.95
Perth,2021,1,31.04
Perth,2021,2,28.21
Perth,2021,3,27.95
Perth,2021,4,25.71
Perth,2021,5,20.98
Perth,2021,6,17.48
Perth,2021,7,17.24
Perth,2021,8,17.92
Perth,2021,9,19.39
Perth,2021,10,19.22
Perth,2021,11,23.81
Perth,2021,12,28.94
Perth,2022,1,31.45
Perth,2022,2,32.35
Perth,2022,3,28.99
Perth,2022,4,24.35
Perth,2022,5,20.85
Perth,2022,6,18.47
Perth,2022,7,17.85
Perth,2022,8,17.14
Perth,2022,9,18.95
Perth,2022,10,19.73
Perth,2022,11,23.08
Perth,2022,12,27.58
Perth,2023,1,30.39
Perth,2023,2,30.14
Perth,2023,3,28.32
Perth,2023,4,22.19
Perth,2023,5,21.0
Perth,2023,6,16.07
Perth,2023,7,17.11
Perth,2023,8,18.52
Perth,2023,9,20.28
Perth,2023,10,24.5
Perth,2023,11,28.5
Perth,2023,12,29.4
Perth,2024,1,30.24
Perth,2024,2,33.19
Perth,2024,3,29.3
Perth,2024,4,27.53
Perth,2024,5,24.42
Perth,2024,6,18.73
Perth,2024,7,18.02
Perth,2024,8,18.24
Perth,2024,9,20.61
Perth,2024,10,22.37
Perth,2024,11,24.88
Perth,2024,12,29.51
Sydney,2005,1,24.95
Sydney,2005,2,24.98
Sydney,2005,3,22.13
Sydney,2005,4,23.07
Sydney,2005,5,18.6
Sydney,2005,6,17.42
Sydney,2005,7,16.61
Sydney,2005,8,17.65
Sydney,2005,9,18.92
Sydney,2005,10,22.17
Sydney,2005,11,22.46
Sydney,2005,12,26.62
